1	2
2	3
3	6
4	8
5	7
6	1
7	6
8	7
9	1
10	8
11	9
12	8
13	10
14	2
15	3
16	3
17	1
18	9
19	8
20	4
21	5
22	4
23	8
24	6
25	1
26	4
27	1
28	2
29	1
30	5
31	7
32	1
33	6
34	10
35	7
36	4
37	6
38	9
39	8
40	2
41	7
42	1
43	1
44	8
45	4
46	4
47	1
48	10
49	3
50	7
51	1
52	2
53	10
54	10
55	6
56	3
57	6
58	4
59	10
60	7
61	9
62	2
63	2
64	5
65	2
66	4
67	1
68	6
69	2
70	8
71	1
72	3
73	4
74	1
75	1
76	7
77	7
78	8
79	8
80	3
81	4
82	10
83	6
84	6
85	10
86	8
87	6
88	9
89	6
90	5
91	6
92	5
93	10
94	10
95	9
96	3
97	5
98	1
99	1
100	8
101	1
102	9
103	6
104	3
105	1
106	8
107	4
108	4
109	6
110	1
111	3
112	2
113	7
114	6
115	9
116	3
117	8
118	6
119	6
120	9
121	5
122	8
123	3
124	9
125	7
126	9
127	4
128	2
129	7
130	2
131	1
132	2
133	5
134	6
135	7
136	4
137	3
138	6
139	5
140	5
141	5
142	2
143	6
144	2
145	4
146	8
147	3
148	7
149	2
150	9
151	10
152	5
153	2
154	9
155	1
156	4
157	3
158	7
159	2
160	3
161	6
162	1
163	4
164	4
165	10
166	2
167	3
168	4
169	3
170	5
171	9
172	10
173	2
174	7
175	5
176	8
177	4
178	9
179	5
180	3
181	10
182	9
183	5
184	1
185	4
186	1
187	5
188	8
189	2
190	6
191	1
192	5
193	5
194	10
195	8
196	3
197	2
198	7
199	3
200	5
201	4
202	8
203	7
204	4
205	7
206	2
207	2
208	2
209	5
210	5
211	3
212	3
213	2
214	2
215	8
216	6
217	10
218	9
219	8
220	5
221	3
222	7
223	10
224	7
225	4
226	4
227	8
228	10
229	7
230	2
231	5
232	10
233	5
234	10
235	3
236	9
237	6
238	7
239	5
240	2
241	5
242	9
243	3
244	4
245	3
246	4
247	7
248	6
249	7
250	4
251	10
252	5
253	2
254	1
255	6
256	1
257	1
258	4
259	9
260	2
261	9
262	4
263	8
264	8
265	1
266	10
267	3
268	1
269	10
270	1
271	7
272	4
273	7
274	1
275	7
276	1
277	5
278	9
279	4
280	9
281	3
282	5
283	6
284	1
285	1
286	3
287	8
288	2
289	9
290	8
291	3
292	8
293	4
294	5
295	5
296	2
297	2
298	6
299	10
300	4
301	3
302	7
303	1
304	9
305	6
306	9
307	8
308	7
309	4
310	6
311	10
312	7
313	4
314	9
315	6
316	8
317	2
318	3
319	10
320	1
321	6
322	5
323	7
324	8
325	3
326	8
327	6
328	3
329	8
330	5
331	9
332	1
333	8
334	5
335	5
336	2
337	7
338	4
339	6
340	7
341	9
342	1
343	3
344	7
345	5
346	6
347	5
348	1
349	8
350	5
351	5
352	3
353	1
354	6
355	10
356	9
357	2
358	3
359	7
360	7
361	5
362	4
363	10
364	4
365	1
366	8
367	2
368	4
369	2
370	1
371	9
372	3
373	3
374	5
375	7
376	5
377	6
378	2
379	4
380	1
381	3
382	3
383	9
384	8
385	6
386	9
387	2
388	4
389	7
390	9
391	3
392	10
393	9
394	4
395	2
396	10
397	2
398	10
399	9
400	2
